record_ID,well_ID,pump_fixed,pump_working,activity_date,village_name,prefecture,Latitude,Longitude,pump_type,sous_prefecture,payment,service_visit_type
12823,R797,oui,oui,08/26/2015,Mbourouba,ombelampoko,5.103019,18.56329,hpv_60,damara,0,
12826,R800,oui,oui,08/26/2015,Gbozo,ombelampoko,5.141947,18.47518,hpv_60,damara,0,
11902,R815,oui,oui,07/09/2015,BOGBARA,ombelampoko,5.330429,17.08066,india_mark_2,yaloke,0,
11905,R816,oui,oui,07/09/2015,BOGBARA 2,ombelampoko,5.332649,17.07885,india_mark_2,yaloke,0,
15295,R816,oui,oui,03/17/2016,BOGBARA 2,ombelampoko,5.332667,17.07883,india_mark_2,yaloke,0,
15514,R824,oui,oui,03/26/2016,BOGBAZOU 1,ombelampoko,5.250989,17.6791,hpv_60,bossembele,0,
11707,R827,oui,oui,06/29/2015,Bakere,ombelampoko,5.257572,17.66515,hpv_60,bossembele,0,
15511,R827,oui,oui,03/26/2016,BAKERE,ombelampoko,5.25767,17.66517,hpv_60,bossembele,0,
9136,R830,oui,oui,01/23/2015,Bakette,ombelampoko,5.264606,17.64578,hpv_60,bossembele,0,
11719,R830,oui,oui,06/30/2015,BODELE GBAYA,ombelampoko,5.264649,17.64578,hpv_60,bossembele,0,
15448,R830,oui,oui,03/23/2016,BODELE GBAYA,ombelampoko,5.264566,17.64574,hpv_60,bossembele,9500,
11710,R836,oui,oui,06/30/2015,NGANDO 1,ombelampoko,5.265139,17.65199,hpv_60,bossembele,0,
15466,R836,oui,oui,03/24/2016,BOKENGUE 1 NGANDO,ombelampoko,5.265115,17.65194,hpv_60,bossembele,4500,
11662,R842,oui,oui,06/27/2015,BOSSEGBIEN 2,ombelampoko,5.699626,17.60081,hpv_60,bossembele,10000,
15496,R842,oui,oui,03/25/2016,BOSSEGBIEN 2,ombelampoko,5.699639,17.60086,hpv_60,bossembele,0,
11689,R848,oui,oui,06/27/2015,BOUGOUDI 1,ombelampoko,5.47723,17.63142,hpv_60,bossembele,0,
15478,R848,oui,oui,03/25/2016,BOUGOUDI 1,ombelampoko,5.477223,17.63144,hpv_60,bossembele,0,
11713,R902,oui,oui,06/30/2015,NGANDO 1,ombelampoko,5.263173,17.65473,hpv_60,bossembele,16000,
15469,R902,oui,oui,03/24/2016,NGANDO 1,ombelampoko,5.263084,17.65472,hpv_60,bossembele,12000,
11623,R914,non,oui,06/25/2015,BOESSE 1,ombelampoko,4.981594,17.68543,hpv_60,bossembele,0,
15547,R914,oui,oui,03/27/2016,BOWESSE 1,ombelampoko,4.981652,17.68549,hpv_60,bossembele,0,
4293,R917,oui,oui,03/26/2014,Bodoukpa 3,ombelampoko,5.084766,17.8183,hpv_60,bossembele,0,
15117,R917,oui,oui,02/05/2016,BODOUKPA 2,ombelampoko,5.084724,17.81837,hpv_60,bossembele,0,
29325,Y26,decommissioned,decommissioned,07/09/2018,BOUDOULI SANTE,ombelampoko,,,india_mark_2,bossembele,,monitor
18396,A1,oui,oui,10/22/2016,BELLE VUE,mamberekadei,4.248181,15.7681,hpv_60,berberati,16000,
20289,A1,oui,oui,03/07/2017,BELLE VUE,mamberekadei,4.248206,15.76802,hpv_60,berberati,16000,
23076,A1,oui,oui,10/26/2017,BELLE VUE,mamberekadei,4.248225,15.76804,hpv_60,berberati,0,
25701,A1,oui,oui,02/23/2018,BELLE VUE,mamberekadei,4.24823,15.76803,hpv_60,berberati,,rapid_response
25653,A1,oui,oui,01/26/2018,BELLE VUE,mamberekadei,4.24817,15.76812,hpv_60,berberati,,rapid_response
25749,A1,oui,oui,03/19/2018,BELLE VUE,,4.248263,15.76803,hpv_60,,,monitor
