record_ID,Latitude,Longitude,service_visit_type,well_ID,village_name,prefecture,sous_prefecture,wells::mission_id,team_number,activity_date,population_estimate,pop_use,pump_type,pump_working,pump_fixed,payment
44581,4.248756,15.593968,EEP traditionnel,F2115,Dong-Bolo Fada 2,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/14/2020,50,0,Vergnet HPV 60 2000,Oui,Oui,
44584,4.230478,15.651824,EEP traditionnel,F2112,Barka-Basso A,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/14/2020,300,95,Vergnet HPV 60 2000,Oui,Oui,
44311,4.989893,18.718394,EEP traditionnel,A3305,Sakayaka,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/14/2020,345,87,Vergnet HPV 60,Non,Oui,
44125,4.010642,17.604617,EEP traditionnel,A1041,Bonguenguete,Lobaye,Mbaiki,2,EEP 4,1/14/2020,622,120,India MARK 2,Non,Oui,
44314,4.959584,18.704321,EEP traditionnel,F1941,Damara Lycee,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/14/2020,1845,185,Vergnet HPV 60 2000,Oui,Oui,
44587,4.23722,15.698135,EEP traditionnel,F2097,Bossengue,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/15/2020,150,95,Vergnet HPV 60 2000,Oui,Oui,
44545,6.777966,16.601097,EEP traditionnel,R330,Gbavara centre,Ouham Pende,Paoua,2,EEP 1,1/15/2020,1575,1750,India MARK 2,Oui,Oui,
44590,4.234787,15.684589,EEP traditionnel,F2109,Gbangobo B,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/15/2020,150,50,Vergnet HPV 60 2000,Oui,Oui,
44593,4.234402,15.682716,Visite de suivi,F1801,Gbangobo B,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/15/2020,200,110,Vergnet Hydro India,Oui,Oui,
44317,5.149031,18.864059,EEP traditionnel,Z117,Ombela bord,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/15/2020,312,63,Vergnet HPV 60,"Oui, mais pas correctement",Oui,
44548,6.765282,16.607806,EEP traditionnel,R327,Gbavara 3,Ouham Pende,Paoua,2,EEP 1,1/15/2020,1358,1358,India MARK 2,"Oui, mais pas correctement",Oui,
44320,5.110783,18.833304,EEP traditionnel,Z118,Malo Nord,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/15/2020,853,75,Vergnet HPV 60,Oui,Oui,
44128,3.722876,17.565418,Visite de suivi,A2040,Bakota Liberte,Lobaye,Mbaiki,2,EEP 4,1/15/2020,0,0,Vergnet HPV 60,Non,Désactiver cette point d'eau,
44323,5.102681,18.82716,EEP traditionnel,A3301,Malo,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/15/2020,1485,124,Vergnet HPV 60,Oui,Oui,
44131,3.727257,17.555919,Visite de suivi,A687,Bakota Eglise Catholique,Lobaye,Mbaiki,2,EEP 4,1/15/2020,650,0,Vergnet HPV 60,Non,Désactiver cette point d'eau,
44551,6.715272,16.71642,EEP traditionnel,R329,Gbakera,Ouham Pende,Paoua,2,EEP 1,1/15/2020,3642,952,India MARK 2,"Oui, mais pas correctement",Oui,
44554,6.713286,16.711131,EEP traditionnel,R328,Boweye 1,Ouham Pende,Paoua,2,EEP 1,1/15/2020,5444,275,India MARK 2,Non,Oui,
44059,4.315383,18.350082,Visite Animateur,A947,Ndagala 4,Ombella M'Poko,Bimbo,Moto_Bangui_Mission_1,Bureau,1/15/2020,1480,1400,Vergnet HPV 60,Oui,Oui,
44557,6.889721,16.516302,EEP traditionnel,R348,GOZION 2,Ouham Pende,Paoua,2,EEP 1,1/15/2020,2580,1292,India MARK 2,"Oui, mais pas correctement",Oui,
44560,6.894035,16.577729,EEP traditionnel,R326,Ecole Gbong 3,Ouham Pende,Paoua,2,EEP 1,1/15/2020,1428,1428,India MARK 2,Oui,Oui,
44062,4.314139,18.35138,Visite Animateur,R733,Ndagala Marche,Ombella M'Poko,Bimbo,Moto_Bangui_Mission_1,Bureau,1/15/2020,1300,1250,India MARK 2,Oui,Oui,
44134,3.866132,17.990381,EEP traditionnel,Z208,LYCEE de mbaiki,Lobaye,Mbaiki,2,EEP 4,1/15/2020,790,130,India MARK 2,Oui,Oui,
44326,4.959479,18.702488,Visite de suivi,A3295,Damara Source,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/15/2020,835,86,Vergnet HPV 60,Oui,Oui,
44596,4.229079,15.649454,EEP traditionnel,A285,Barka-Basso B,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/16/2020,400,0,Vergnet HPV 60,Non,Non,
44329,4.960228,18.699043,EEP traditionnel,Z124,Damara Hopitale,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/16/2020,1634,164,Vergnet HPV 60,"Oui, mais pas correctement",Oui,
44599,4.237523,15.695195,EEP traditionnel,F2106,Ndolongo A,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/16/2020,80,50,Vergnet HPV 60 2000,Oui,Oui,
44602,4.235998,15.703876,EEP traditionnel,F2100,Bossengue 1,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/16/2020,150,80,Vergnet HPV 60 2000,Oui,Oui,
